OPERATEUR;ANNEE;FILIERE;TYPE;CODE;CONSOA;PDLA;INDQUALA;CONSOI;PDLI;INDQUALI;CONSOT;PDLT;INDQUALT;CONSOR;PDLR;INDQUALR;THERMOR;PARTR;CONSONA;PDLNA;INDQUALNA
Gaz de Barr;2017;G;Commune;67504;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,500000;1587,00;101;0,500000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;675050000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;-99,00;-99;-99,0000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675060101;0,00;0;0,000000;0,00;0;0,000000;916,58;1;1,000000;8758,25;337;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675060102;0,00;0;0,000000;0,00;0;0,000000;6827,46;11;1,000000;13737,27;513;0,000000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;675070000;0,00;0;0,000000;0,00;0;0,000000;1396,00;2;1,000000;10203,00;495;0,000000;3515,00;0,91;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675100000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;122,36;50;0,000000;0,00;0,00;0,00;0;0,000000
GrDF;2017;G;IRIS;675110000;0,00;0;0,000000;0,00;0;0,000000;2831,00;1;1,000000;748,00;46;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675170000;0,00;0;0,000000;0,00;0;0,000000;0,00;0;0,000000;1222,69;31;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675190101;0,00;0;0,000000;0,00;0;0,000000;1153,28;2;1,000000;12759,76;569;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675190102;0,00;0;0,000000;0,00;0;0,000000;4231,59;7;1,000000;19709,18;740;0,000000;0,00;0,00;0,00;0;0,000000
GRT Gaz;2017;G;IRIS;675190102;0,00;0;0,000000;221016,81;1;1,000000;0,00;0;0,000000;0,00;0;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675200101;0,00;0;0,000000;2970,04;5;1,000000;3815,18;5;1,000000;10426,54;373;0,000000;0,00;0,00;0,00;0;0,000000
Réseau GDS;2017;G;IRIS;675200102;0,00;0;0,000000;703,55;1;1,000000;2595,19;4;1,000000;9434,85;472;0,000000;0,00;0,00;0,00;0;0,000000
